"STT","Loại (Type)","Câu hỏi (Q)","Câu trả lời (A)","","","","","","","","","","","","","","","","","","","","","",""
"80","Trồng trọt","Phòng bệnh vàng lá gân xanh (Greening) trên cây có múi bằng cách nào?","Diệt trừ rầy chổng cánh (côn trùng truyền bệnh) và sử dụng giống sạch bệnh.","","","","","","","","","","","","","","","","","","","","","",""
"81","Chăn nuôi","Dấu hiệu gà bị sổ mũi, chảy nước mắt, sưng mặt?","Thường là biểu hiện của bệnh viêm mũi truyền nhiễm (Coryza).","","","","","","","","","","","","","","","","","","","","","",""
"82","Trồng trọt","Cây trồng cần nguyên tố trung lượng nào ngoài Canxi?","Magie (Mg) và Lưu huỳnh (S).","","","","","","","","","","","","","","","","","","","","","",""
"83","Trồng trọt","Cách làm giảm tác hại của sương muối đối với rau màu?","Che phủ, tưới nước rửa sương muối vào sáng sớm, bón Kali và Photpho để tăng sức chống chịu.","","","","","","","","","","","","","","","","","","","","","",""
"84","Chăn nuôi","Nguyên nhân gây bệnh tai xanh (PRRS) ở lợn là gì?","Do virus gây ra.","","","","","","","","","","","","","","","","","","","","","",""
"85","Trồng trọt","Công dụng của việc sử dụng màng phủ nông nghiệp (nylon) trên luống rau?","Giữ ẩm, giữ ấm gốc, ngăn cỏ dại, hạn chế côn trùng và bệnh lây lan từ đất.","","","","","","","","","","","","","","","","","","","","","",""
"86","Trồng trọt","Bệnh cháy lá trên cây ngô thường gặp khi nào?","Khi thời tiết nóng ẩm, bón phân không cân đối.","","","","","","","","","","","","","","","","","","","","","",""
"87","Chăn nuôi","Tại sao lợn cần tiêm sắt cho lợn con sau sinh?","Lợn con dễ bị thiếu máu do lượng sắt dự trữ ít và sữa mẹ thiếu sắt.","","","","","","","","","","","","","","","","","","","","","",""
"88","Trồng trọt","Dấu hiệu cây lúa bị ngộ độc hữu cơ?","Lá lúa chuyển sang màu đen ở chóp và mép lá, rễ đen thối.","","","","","","","","","","","","","","","","","","","","","",""
"89","Trồng trọt","Cách xử lý lúa bị ngộ độc hữu cơ?","Tháo khô nước trong ruộng, sau đó cho nước sạch vào và bón vôi hoặc phân lân.","","","","","","","","","","","","","","","","","","","","","",""
"90","Chăn nuôi","Tại sao cần giữ ấm cho lợn con sau khi sinh?","Lợn con chưa có lớp mỡ dày, dễ bị hạ thân nhiệt, dẫn đến tiêu chảy và chết.","","","","","","","","","","","","","","","","","","","","","",""
"91","Trồng trọt","Bệnh nấm Phytophthora gây hại phổ biến trên loại cây nào?","Cây ăn trái (sầu riêng, mít, cam, bưởi) và cây công nghiệp (cao su, ca cao).","","","","","","","","","","","","","","","","","","","","","",""
"92","Trồng trọt","Biện pháp kiểm dịch thực vật là gì?","Kiểm tra, xử lý hàng hóa nông sản nhập khẩu/xuất khẩu để ngăn chặn sâu bệnh lây lan.","","","","","","","","","","","","","","","","","","","","","",""
"93","Trồng trọt","Dấu hiệu cây trồng thiếu Magie (Mg)?","Lá già chuyển vàng giữa các gân, chỉ còn gân lá màu xanh (hiện tượng gân xanh lá vàng).","","","","","","","","","","","","","","","","","","","","","",""
"94","Trồng trọt","Phân bón lá có ưu điểm gì so với phân bón gốc?","Cây hấp thụ nhanh, hiệu quả tức thì, và có thể cung cấp vi lượng kịp thời.","","","","","","","","","","","","","","","","","","","","","",""
"95","Chăn nuôi","Làm thế nào để phòng bệnh viêm vú ở bò sữa?","Vệ sinh bầu vú sạch sẽ trước và sau khi vắt sữa, kiểm tra vú định kỳ.","","","","","","","","","","","","","","","","","","","","","",""
"96","Trồng trọt","Biện pháp canh tác giúp giảm thiểu cỏ dại trên ruộng lúa?","Làm đất kỹ, ngâm ủ lúa giống đúng cách, và duy trì mực nước sâu.","","","","","","","","","","","","","","","","","","","","","",""
"97","Chăn nuôi","Cách nhận biết heo bị bệnh phó thương hàn?","Sốt cao, da có nhiều đốm đỏ tím ở tai, bụng, chân; tiêu chảy, khó thở.","","","","","","","","","","","","","","","","","","","","","",""
"98","Trồng trọt","Nguyên nhân cây trồng bị cháy nắng (Sunburn)?","Thiếu nước, nhiệt độ quá cao, hoặc thay đổi môi trường đột ngột.","","","","","","","","","","","","","","","","","","","","","",""
"99","Chăn nuôi","Vai trò của vitamin C đối với vật nuôi?","Tăng sức đề kháng, giảm stress khi thời tiết thay đổi hoặc tiêm phòng.","","","","","","","","","","","","","","","","","","","","","",""
"100","Trồng trọt","Bệnh thối rễ ở cây trồng thường nặng hơn vào mùa nào?","Mùa mưa (ẩm độ cao) và mùa hè (nhiệt độ cao).","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
